Dates,"Agriculture, forestry & fishing","Mining, energy and water supply",Manufacturing,Construction,"Wholesale, retail & repair of motor vehicles",Transport & storage,Accommod-ation & food services,Information & communication,Financial & insurance activities,Real estate activities,"Professional, scientific & technical activities",Administrative & support services,Public admin & defence; social security,Education,Human health & social work activities,Other services,,,,
Oct-Dec 2000,326104.9783,399943.5673,4001272.264,2061505.323,4087316.772,1545274.849,1239649.6,1055549.554,1249977.785,208182.19,1621903.17,1259987.335,1720813.468,2371022.083,2999702.62,1373568.442,,,,
Jan-Mar 2001,304342.4628,417090.0362,3948901.441,2046432.526,4070768.064,1508600.8,1208155.221,1071391.068,1227509.665,210724.8351,1652399.708,1264689.279,1739674.451,2372296.042,3022592.894,1338066.509,,,,
Apr-Jun 2001,297598.7754,402008.7981,3918914.747,2095600.489,4034566.6,1530614.216,1250575.977,1076429.058,1216546.616,210159.3667,1649131.252,1289925.763,1782204.794,2355092.587,3109060.869,1327885.093,,,,
Jul-Sep 2001,311675.1804,412133.4408,3924314.002,2142276.577,4075201.151,1538226.403,1290724.162,1088802.462,1249575.519,212330.79,1642682.537,1346877.389,1781548.273,2275826.904,3087966.222,1381058.294,,,,
Oct-Dec 2001,288418.5962,407895.8017,3913989.502,2150043.081,4084452.507,1546809.807,1281694.492,1068321.744,1247404.609,214456.4466,1681151.728,1325256.779,1802166.456,2345181.852,3083278.13,1337382.894,,,,
Jan-Mar 2002,283684.864,399569.7096,3825530.146,2111521.545,4034145.869,1546856.462,1287763.557,1011182.249,1243017.508,225994.5179,1712176.857,1313794.352,1803553.881,2414790.45,3076653.113,1317318.741,,,,
Apr-Jun 2002,279256.3736,418689.0063,3784092.354,2101521.267,4067149.068,1556147.395,1355089.285,990154.5109,1266895.772,217223.1708,1698763.388,1325028.033,1809946.193,2466972.637,3103710.336,1357779.065,,,,
Jul-Sep 2002,274457.1963,418847.7046,3823904.088,2160495.566,4134445.126,1558671.119,1342290.099,1011962.843,1269904.397,216772.3848,1699720.142,1306701.57,1827247.2,2406303.508,3130855.105,1404672.081,,,,
Oct-Dec 2002,255774.0768,409144.588,3815685.831,2182475.9,4243691.307,1565465.816,1305589.237,1018189.26,1231822.007,207869.8821,1744310.409,1277102.232,1838854.432,2474827.387,3140684.049,1384641.949,,,,
Jan-Mar 2003,272397.2091,377857.8995,3653881.304,2162776.284,4216056.831,1546678.632,1309367.347,1004166.613,1252315.024,204824.7626,1691947.85,1264759.998,1860353.42,2537651.911,3172078.613,1403659.433,,,,
Apr-Jun 2003,260424.7358,370100.1095,3606601.212,2218689.2,4217562.403,1586401.186,1276018.43,1010065.244,1250661.223,207086.2174,1722897.134,1229848.237,1866233.253,2584224.925,3218101.298,1476965.901,,,,
Jul-Sep 2003,276264.2684,379493.1826,3512353.73,2299576.139,4288222.611,1542947.658,1339200.241,1033197.841,1271073.789,215921.0963,1716683.449,1269601.665,1881475.162,2548673.863,3239515.955,1487358.819,,,,
Oct-Dec 2003,270941.2462,358851.8199,3431722.512,2279790.121,4390062.187,1528591.218,1314009.519,1026513.601,1238187.344,207494.4855,1746169.111,1241264.129,1888285.798,2598737.506,3282317.942,1479619.317,,,,
Jan-Mar 2004,260871.5024,369079.9125,3387813.411,2297957.492,4242941.699,1519825.657,1329056.814,1043955.885,1216481.453,228055.9613,1754835.98,1255157.267,1887466.864,2699823.775,3335542.581,1461748.062,,,,
Apr-Jun 2004,263871.6948,376690.1459,3321163.787,2313516.344,4245746.558,1518488.197,1317716.495,1045457.692,1205756.335,244486.5864,1721724.064,1267154.204,1894290.118,2722029.978,3400655.797,1466665.854,,,,
Jul-Sep 2004,273323.6527,409677.7538,3394264.002,2372283.278,4251743.401,1524790.036,1332919.331,1049147.718,1201120.45,234272.6262,1694511.117,1299655.353,1951301.435,2673769.398,3418340.794,1456861.883,,,,
Oct-Dec 2004,271139.2419,401085.2329,3374983.675,2403103.701,4326120.586,1535833.199,1302202.662,1027574.264,1191702.987,241789.8728,1722396.252,1323153.826,1923476.173,2717674.418,3420375.834,1454597.275,,,,
Jan-Mar 2005,288285.3701,400604.23,3305918.016,2397101.587,4252967.828,1534842.153,1301572.92,1025729.536,1218869.475,224431.0269,1734694.019,1350362.277,1953342.934,2733101.079,3468805.117,1413240.048,,,,
Apr-Jun 2005,283625.6123,398199.9683,3335838.196,2383617.935,4212509.223,1558138.644,1317485.836,1013374.89,1209675.991,239707.2728,1755320.87,1337583.932,1938202.628,2767995.551,3478535.363,1431230.751,,,,
Jul-Sep 2005,282980.6141,405546.3051,3317486.5,2457533.604,4239425.396,1576353.497,1280530.068,1024144.449,1287167.461,248140.2851,1782921.768,1325033.531,1982649.379,2718113.289,3570662.755,1449670.034,,,,
Oct-Dec 2005,288035.6752,414658.3314,3259772.154,2409573.762,4201904.971,1592620.251,1267225.492,1022014.91,1279326.538,256513.9751,1818251.079,1299468.403,1966960.932,2755395.475,3558902.515,1447614.434,,,,
Jan-Mar 2006,273458.8339,403994.4846,3242257.621,2430710.425,4163201.298,1564378.876,1286199.154,1014122.655,1269590.688,252492.3466,1834586.616,1276161.418,2020439.738,2835613.7,3576129.747,1426187.382,,,,
Apr-Jun 2006,267956.6162,414037.0613,3285322.302,2460184.568,4117074.114,1555409.759,1340232.661,1023900.524,1259102.75,262659.4961,1805963.526,1279661.485,1989967.251,2849177.914,3579380.004,1445883.244,,,,
Jul-Sep 2006,292940.9597,424375.909,3279567.715,2510054.972,4154448.79,1573765.05,1382265.294,1044787.204,1252096.183,247681.8641,1824492.475,1322861.47,1970370.253,2758378.983,3630282.753,1528164.183,,,,
Oct-Dec 2006,302313.2879,436132.3795,3233501.654,2542319.607,4197541.719,1584710.307,1328855.161,1057485.937,1269627.056,248066.1208,1825456.477,1328371.124,1962333.295,2813038.092,3521510.601,1508336.125,,,,
Jan-Mar 2007,288188.1917,450357.5524,3215861.489,2527278.473,4120183.494,1565914.907,1323604.012,1056296.651,1263318.705,256925.8141,1874444.617,1304263.861,1980090.082,2798404.73,3500214.738,1472601.555,,,,
Apr-Jun 2007,294493.2432,464488.2911,3280944.216,2543717.884,4034288.163,1558897.19,1370977.212,1050761.753,1271744.601,245031.8915,1882696.895,1347373.047,1984565.072,2822590.622,3460671.03,1513499.659,,,,
Jul-Sep 2007,296901.4462,468655.1751,3268780.971,2557784.537,4089639.767,1556144.518,1405893.92,1062159.618,1303858.24,265839.4976,1911920.072,1431688.878,1990251.088,2781541.166,3505081.46,1512419.433,,,,
Oct-Dec 2007,307373.7273,460541.0331,3216098.507,2536993.613,4187089.805,1575699.1,1394921.951,1019461.264,1311576.92,278552.2176,1952485.3,1399343.191,1996217.356,2839612.683,3530801.177,1516725.432,,,,
Jan-Mar 2008,334465.746,451836.344,3147716.404,2534500.638,4183903.052,1604820.587,1382001.251,1024283.92,1287794.771,263208.9713,1939301.747,1398046.83,2010853.745,2846845.265,3566436.044,1509121.903,,,,
Apr-Jun 2008,320901.7195,445926.8388,3086949.844,2511934.782,4195463.432,1589966.055,1355365.197,1032865.554,1286881.418,252862.4711,1968634.972,1416716.127,2035125.446,2861061.889,3642232.79,1518743.669,,,,
Jul-Sep 2008,312942.7842,463216.6296,3068439.868,2583346.598,4248063.514,1606063.026,1354779.389,1062625.775,1272402.695,259482.3997,1918584.547,1403788.659,2032635.888,2805357.009,3648056.142,1532551.38,,,,
Oct-Dec 2008,306478.5326,507279.0446,2980566.871,2564194.507,4221459.303,1625831.045,1335151.411,1036125.154,1243844.573,252249.9283,1849219.418,1347471.94,2036721.19,2848434.061,3747671.756,1583571.04,,,,
Jan-Mar 2009,322145,488927,2856657,2482323,4107092,1571053,1323762,1034945,1226928,273455,1841967,1308801,2009254,2919083,3771845,1579075,,,,
Apr-Jun 2009,311436,482879,2776762,2385335,3988994,1510484,1360396,1014758,1234855,268092,1882290,1301087,1966733,2928828,3738611,1582599,,,,
Jul-Sep 2009,328953,490727,2813441,2310547,4031376,1462609,1427926,1020180,1246362,265065,1890017,1301069,1977320,2960471,3778050,1599034,,,,
Oct-Dec 2009,322604,481861,2798918,2310963,4017107,1455178,1405928,1014172,1223014,253681,1885624,1328080,1944390,3045167,3846393,1579401,,,,
Jan-Mar 2010,335617,472103,2815337,2208247,3942736,1461739,1387684,1010855,1210484,262581,1881916,1319160,1929872,3062336,3823954,1549366,,,,
Apr-Jun 2010,341354,462654,2875117,2206970,4004215,1442800,1460792,979488,1174862,262242,1892954,1325506,1925316,3129432,3848401,1531891,,,,
Jul-Sep 2010,369380,474236,2888377,2233745,4112179,1482721,1502801,1044632,1165454,300742,1851937,1340613,1924567,3119735,3821044,1593722,,,,
Oct-Dec 2010,366454,488856,2901791,2238124,4082067,1435614,1427103,1029850,1171138,300468,1882366,1379310,1866568,3120342,3883601,1554986,,,,
Jan-Mar 2011,356839,497141,2860014,2212269,4033871,1451342,1417165,1059342,1179002,299434,1857252,1299005,1875317,3120931,3966535,1544136,,,,
Apr-Jun 2011,342389,520746,2867708,2198405,4051471,1445046,1458102,1073353,1172977,307621,1851003,1321273,1844396,3129401,3930745,1586935,,,,
Jul-Sep 2011,369532,518719,2841499,2236778,4018560,1428444,1498462,1060772,1191973,300182,1887545,1339323,1852122,2985907,3981117,1638959,,,,
Oct-Dec 2011,356532,527373,2883637,2172445,4078049,1432326,1499363,1083175,1215163,293312,1897596,1352920,1864172,3020556,3927079,1583039,,,,
Jan-Mar 2012,373825,533970,2850520,2147653,4017479,1430081,1437545,1124499,1198746,333335,1903002,1368987,1847435,3087853,3865192,1554030,,,,
Apr-Jun 2012,353314,532391,2920628,2171348,4102661,1415624,1495973,1098286,1228797,327542,1944914,1356920,1802821,3077511,3871022,1573584,,,,
Jul-Sep 2012,356085,547039,2934258,2175132,4128903,1457100,1526813,1112535,1216461,329371,1983338,1372235,1827348,3020809,3947590,1606559,,,,
Oct-Dec 2012,315994,517973,2910541,2149683,4105308,1481764,1523343,1146006,1168889,345927,1967514,1375972,1824172,3139940,3992346,1591552,,,,
Jan-Mar 2013,304184,536771,2920661,2101798,4031172,1487010,1504047,1160711,1149866,343511,2000310,1354370,1851732,3114273,3985307,1586571,,,,
Apr-Jun 2013,308134,526473,2867967,2155495,4020841,1455614,1504409,1162233,1144131,343520,2023617,1423040,1864204,3103151,4029281,1591399,,,,
Jul-Sep 2013,323890,510144,2954199,2188150,3999497,1519764,1565868,1176838,1177527,326031,2073111,1450286,1879816,3081050,4035536,1642299,,,,
Oct-Dec 2013,321777,511283,2957023,2200228,4097203,1543077,1554521,1197596,1171501,340582,2095782,1436956,1816728,3094342,4068338,1639196,,,,
Jan-Mar 2014,379340,508028,2945000,2228524,4063024,1489721,1578959,1150225,1171485,368619,2168598,1388192,1851427,3107037,4075830,1663342,,,,
Apr-Jun 2014,394981,510766,2997245,2216895,3994426,1466504,1632821,1174315,1157591,358608,2140855,1441100,1805992,3217716,4104686,1693439,,,,
Jul-Sep 2014,385940,543406,3019239,2242370,3976311,1469899,1665360,1236745,1207218,340474,2139248,1487032,1853093,3197325,4062016,1781169,,,,
Oct-Dec 2014,375277,536583,3077074,2267922,4123925,1479351,1594013,1249875,1182291,339086,2135734,1451603,1798329,3232650,4141833,1752881,,,,
Jan-Mar 2015,348039,567093,3006583,2265708,4065698,1512029,1617596,1275948,1184504,333526,2189231,1414386,1844723,3284748,4169977,1764677,,,,
Apr-Jun 2015,339823,552102,3016329,2196192,3998005,1537272,1663294,1242937,1222259,339142,2145591,1499438,1831210,3264501,4154787,1756146,,,,
Jul-Sep 2015,349226,553088,2967705,2223409,4094746,1575873,1698054,1275257,1253545,347875,2172628,1539113,1840611,3266390,4162330,1812026,,,,
Oct-Dec 2015,383228,546174,2991675,2264331,4207121,1610246,1638065,1260949,1278727,347031,2204115,1563320,1878399,3328628,4130183,1755714,,,,
Jan-Mar 2016,351334,528418,3007537,2271479,4130681,1607718,1663046,1225338,1261924,357704,2242994,1524592,1855592,3356519,4142568,1744284,,,,
Apr-Jun 2016,336956,518847,3033981,2315410,4167240,1608793,1706662,1206500,1269453,355906,2294019,1495542,1897961,3299747,4158241,1773453,,,,
Jul-Sep 2016,357298,516127,3013189,2290005,4253312,1638204,1766420,1301752,1260131,353587,2249677,1510753,1936202,3336185,4100031,1809281,,,,
Oct-Dec 2016,374779,527634,2947877,2316241,4225700,1602608,1768210,1320791,1195564,352342,2349587,1530159,1964246,3284159,4147718,1789488,,,,
Jan-Mar 2017,381177,538821,2907609,2336294,4136058,1559576,1746789,1322533,1194951,369642,2341400,1550961,1952163,3305426,4233579,1767848,,,,
Apr-Jun 2017,373839,538236,2915396,2327077,4219764,1554326,1807317,1340040,1193521,344734,2329771,1573436,1967521,3262825,4187478,1840042,,,,
Jul-Sep 2017,352306,526802,2949569,2366799,4194691,1604516,1783580,1272853,1233616,343308,2330947,1589464,2001438,3265886,4183666,1906845,,,,
Oct-Dec 2017,375208,561063,2950517,2329735,4323350,1580195,1727489,1241806,1241396,354642,2366162,1592307,1999461,3247012,4223511,1881714,,,,
Jan-Mar 2018,353639,586960,2921938,2331571,4257719,1571773,1718384,1311861,1256209,372311,2363260,1554759,2096924,3236058,4265966,1835114,,,,
Apr-Jun 2018,350452,584698,2886514,2332520,4225419,1625643,1791296,1317487,1276710,346397,2425068,1567501,2057114,3225181,4223927,1856330,,,,
Jul-Sep 2018,333898,583560,2881374,2340652,4197673,1626702,1774898,1304665,1383013,353301,2417027,1566577,2127824,3295963,4276693,1795633,,,,
Oct-Dec 2018,342991,599630,2900651,2405138,4117750,1602324,1739090,1289589,1373178,396615,2431925,1592406,2133633,3377257,4339972,1775423,,,,
Jan-Mar 20194,331723,570990,2962547,2421071,4090121,1557505,1745685,1317504,1290583,378679,2481995,1523265,2106810,3443588,4415177,1881900,,,,
Apr-Jun 2019,345512,551414,3033394,2358791,4064345,1594577,1779144,1337422,1274057,397152,2522637,1559617,2111481,3461086,4379852,1904882,,,,
Jul-Sep 2019,349311,550330,3009656,2334864,4060941,1580227,1827662,1407125,1298854,407377,2554797,1519597,2133247,3448622,4446617,1835273,,,,
Oct-Dec 2019,337907,544988,3022536,2300669,4109081,1575751,1751209,1493982,1267645,387425,2542487,1547634,2140696,3461924,4559079,1907556,,,,
Jan-Mar 2020,322892,545291,2963827,2287260,4003794,1589154,1828873,1500691,1230090,378219,2574368,1565513,2123424,3450371,4574195,1874833,,,,
Apr-Jun 2020,294162,572433,2885047,2196271,3947413,1580704,1703884,1434758,1297284,393006,2539868,1501931,2235984,3433688,4568148,1797119,,,,
Jul-Sep 2020,313631,540116,2745859,2128629,3975646,1573361,1601164,1522568,1330296,400855,2634819,1508612,2236575,3448897,4542271,1773902,,,,
Oct-Dec 2020,316911,581712,2661072,2100820,3855185,1551027,1501735,1534146,1447123,422028,2680346,1410530,2417505,3506481,4435427,1765955,,,,
Jan-Mar 2021,286837,567934,2745013,2110564,3839830,1491429,1464349,1538785,1433263,426415,2711301,1416621,2369282,3515847,4497834,1773768,,,,
Apr-Jun 2021,286335,605649,2706638,2116165,3845317,1480623,1522444,1524022,1425059,410968,2621136,1435129,2387178,3443683,4543148,1871950,,,,
Jul-Sep 2021,288136,639207,2742099,2193612,3863949,1500456,1631765,1571805,1392013,440596,2651995,1464058,2422983,3408385,4592942,1782384,,,,
Oct-Dec 2021,264091,586676,2732310,2149964,3832600,1555265,1643450,1595821,1346429,393412,2679102,1466956,2491188,3506176,4545740,1809963,,,,
Jan-Mar 2022,246421,568100,2770157,2169304,3752302,1584715,1610446,1580375,1355197,388933,2706341,1421055,2496126,3432039,4670270,1858225,,,,
Apr-Jun 2022,252203,551838,2768149,2188594,3591633,1580827,1733661,1648476,1416697,412045,2765335,1439034,2514936,3430912,4665710,1807135,,,,
Jul-Sep 2022,245137,567412,2673121,2145999,3542479,1646830,1738319,1750660,1407838,400401,2789202,1418018,2597919,3418152,4649160,1817083,,,,
Oct-Dec 2022,247279,545398,2694127,2159589,3689821,1645645,1761341,1681767,1392046,407493,2744192,1467174,2666877,3487650,4535356,1826148,,,,
Jan-Mar 2023,264263,521736,2670639,2131323,3700125,1684405,1742909,1654087,1413672,420294,2949031,1467034,2751156,3469435,4474308,1815518,,,,
Apr-Jun 2023,270671,511333,2536298,2165230,3598675,1621497,1673476,1739441,1508618,416101,3038188,1415566,2778259,3357294,4655512,1803628,,,,
Jul-Sep 2023,331612,504518,2508432,2157605,3589037,1668174,1774298,1717008,1509512,402003,3070654,1405903,2663085,3321441,4674636,1921352,,,,
Oct-Dec 2023,322979,552384,2704470,2148220,3568392,1548761,1648261,1659414,1477316,412916,2950512,1553598,2617930,3457723,4774263,1872895,,,,
Jan-Mar 2024,308347,591086,2729067,2099623,3384859,1627901,1523162,1656955,1558969,444890,2990486,1500585,2550350,3482177,4836671,1880223,,,,
Apr-Jun 2024,280561,555913,2737737,2067344,3500518,1626756,1652182,1652897,1485445,394770,2875940,1524163,2552622,3538100,4932070,1879034,,,,
Jul-Sep 2024,292750,567268,2750773,2088302,3602464,1607986,1781062,1665279,1418715,392484,2860395,1486454,2666321,3597517,5027706,1839912,,,,
Oct-Dec 2024,285938,562626,2710351,2139891,3674863,1703880,1853737,1666355,1433070,390607,3025305,1445119,2701742,3511298,4791767,1813574,,,,
Jan-Mar 2025,275438,589458,2678475,2142887,3658620,1680366,1836210,1616365,1400322,396076,2983071,1479758,2762032,3583729,4823374,1892157,,,,
Apr-Jun 2025,272071,565750,2689277,2080287,3723175,1662830,1879713,1690990,1381085,402276,2915761,1504914,2865039,3638283,4809447,1925762,,,,
Jul-Sep 2021,288136,639207,2742099,2193612,3863949,1500456,1631765,1571805,1392013,440596,2651995,1464058,2422983,3408385,4592942,1782384,,,,
Oct-Dec 2021,264091,586676,2732310,2149964,3832600,1555265,1643450,1595821,1346429,393412,2679102,1466956,2491188,3506176,4545740,1809963,,,,
Jan-Mar 2022,246421,568100,2770157,2169304,3752302,1584715,1610446,1580375,1355197,388933,2706341,1421055,2496126,3432039,4670270,1858225,,,,
Apr-Jun 2022,252203,551838,2768149,2188594,3591633,1580827,1733661,1648476,1416697,412045,2765335,1439034,2514936,3430912,4665710,1807135,,,,
Jul-Sep 2022,245137,567412,2673121,2145999,3542479,1646830,1738319,1750660,1407838,400401,2789202,1418018,2597919,3418152,4649160,1817083,,,,
Oct-Dec 2022,247279,545398,2694127,2159589,3689821,1645645,1761341,1681767,1392046,407493,2744192,1467174,2666877,3487650,4535356,1826148,,,,
Jan-Mar 2023,264263,521736,2670639,2131323,3700125,1684405,1742909,1654087,1413672,420294,2949031,1467034,2751156,3469435,4474308,1815518,,,,
Apr-Jun 2023,270671,511333,2536298,2165230,3598675,1621497,1673476,1739441,1508618,416101,3038188,1415566,2778259,3357294,4655512,1803628,,,,
Jul-Sep 2023,331612,504518,2508432,2157605,3589037,1668174,1774298,1717008,1509512,402003,3070654,1405903,2663085,3321441,4674636,1921352,,,,
Oct-Dec 2023,322979,552384,2704470,2148220,3568392,1548761,1648261,1659414,1477316,412916,2950512,1553598,2617930,3457723,4774263,1872895,,,,
Jan-Mar 2024,308347,591086,2729067,2099623,3384859,1627901,1523162,1656955,1558969,444890,2990486,1500585,2550350,3482177,4836671,1880223,,,,
Apr-Jun 2024,280561,555913,2737737,2067344,3500518,1626756,1652182,1652897,1485445,394770,2875940,1524163,2552622,3538100,4932070,1879034,,,,
Jul-Sep 2024,292750,567268,2750773,2088302,3602464,1607986,1781062,1665279,1418715,392484,2860395,1486454,2666321,3597517,5027706,1839912,,,,
Oct-Dec 2024,285938,562626,2710351,2139891,3674863,1703880,1853737,1666355,1433070,390607,3025305,1445119,2701742,3511298,4791767,1813574,,,,
Jan-Mar 2025,275438,589458,2678475,2142887,3658620,1680366,1836210,1616365,1400322,396076,2983071,1479758,2762032,3583729,4823374,1892157,,,,
Apr-Jun 2025,272071,565750,2689277,2080287,3723175,1662830,1879713,1690990,1381085,402276,2915761,1504914,2865039,3638283,4809447,1925762,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, ,  , ,
 ,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
